0,MYLES,CARTER,Centro,15/05/1997,206,104,USA
1,NATHAN,ADRIAN,Ala,21/03/1995,206,107,USA
3,JOSH,PERKINS,Playmaker,25/08/1995,191,86,USA
6,ALESSANDRO,ZANELLI,Playmaker,07/05/1992,188,82,ITA
7,MARIO FAUSTO,DE DONNO,Guardia,05/11/2004,0,0,ITA
8,MARCO,VITUCCI,Playmaker,16/07/2004,0,0,ITA
9,RICCARDO,VISCONTI,Guardia,08/10/1998,197,84,ITA
10,RAPHAEL,GASPARDO,Ala,03/08/1993,207,100,ITA
11,SCOTT,ULANEO,Ala,03/08/1994,205,100,ITA
12,LUCIO,REDIVO,Guardia,14/02/1994,183,84,ARG
15,WES,CLARK,Guardia,12/12/1994,184,78,USA
17,ALESSANDRO,GUIDO,Playmaker/Guardia,03/10/2002,188,80,ITA
21,JEREMY LAMAR,CHAPPELL,Ala,10/06/1987,191,91,USA
22,MATTIA,UDOM,Ala,17/11/1993,200,104,ITA
33,NICK,PERKINS,Centro,15/10/1996,203,113,USA