1,ADRIAN,BANKS,Guardia,09/02/1986,191,88,USA
4,JUAN MANUEL,FERNANDEZ,Playmaker,22/07/1990,193,83,ARG
5,SAGABA,KONATE,Ala/Centro,19/03/1997,203,118,MLI
7,STEFANO,LONGO,Guardia,13/03/2003,192,79,ITA
8,LODOVICO,DEANGELI,Guardia/Ala,19/05/2000,205,90,ITA
9,FABIO,MIAN,Guardia/Ala,07/02/1992,196,88,ITA
12,MARCOS,DELIA,Centro,08/04/1992,209,111,ARG
15,TOMMASO,FANTOMA,Ala,23/10/2003,193,85,ITA
18,DANIELE,CAVALIERO,Guardia,10/01/1984,183,83,ITA
21,LUCA,CAMPOGRANDE,Guardia/Ala,30/04/1996,198,90,ITA
24,ANDREJS,GRAZULIS,Ala/Centro,21/07/1993,202,95,LVA
25,ALESSANDRO,LEVER,Ala/Centro,04/12/1998,208,104,ITA
0,COREY,DAVIS,Playmaker,04/06/1997,185,86,USA